,Type,variable_1,Description,path,variable_2
165,BOX,Ventilation_System,"In Ventilation_Systems comparison wrt Ground_Clearance(mm),2 Zone Climate Control, Fully automatic climate control has the highest mean whereas, Fully automatic climate control, 3 Zone climate control has the lowest mean, max and min InterQuartile Range (IQR) is shown by 4 Zone climate control and 2 Zone Climate Control, Fully automatic climate control respectively.",./static/img/BOX/Ventilation_System_Ground_Clearance(mm).png,Ground_Clearance(mm)
166,BOX,Ventilation_System,"In Ventilation_Systems comparison wrt Seating_Capacity,TRUE has the highest mean whereas, Fully automatic climate control, 4 Zone climate control has the lowest mean, max and min InterQuartile Range (IQR) is shown by 4 Zone climate control and 2 Zone Climate Control respectively.",./static/img/BOX/Ventilation_System_Seating_Capacity.png,Seating_Capacity
167,BOX,Ventilation_System,"In Ventilation_Systems comparison wrt Wheelbase,4 Zone climate control has the highest mean whereas, Heater has the lowest mean, max and min InterQuartile Range (IQR) is shown by Heater, Fully automatic climate control and 2 Zone Climate Control, Fully automatic climate control respectively.",./static/img/BOX/Ventilation_System_Wheelbase.png,Wheelbase
168,BOX,Ventilation_System,"In Ventilation_Systems comparison wrt Minimum_Turning_Radius(meter),TRUE has the highest mean whereas, Heater, Manual Air conditioning with cooling and heating has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and 2 Zone Climate Control, Fully automatic climate control respectively.",./static/img/BOX/Ventilation_System_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
169,BOX,Ventilation_System,"In Ventilation_Systems comparison wrt Number_of_Airbags,2 Zone Climate Control, Fully automatic climate control has the highest mean whereas, Heater has the lowest mean, max and min InterQuartile Range (IQR) is shown by Fully automatic climate control and 2 Zone Climate Control, Fully automatic climate control respectively.",./static/img/BOX/Ventilation_System_Number_of_Airbags.png,Number_of_Airbags
170,BOX,Parking_Assistance,"In Parking_Assistances comparison wrt Ex-Showroom_Price(Rs),Front & rear sensors with 360 degree view has the highest mean whereas, Rear sensors with camera, Rear sensors has the lowest mean, max and min InterQuartile Range (IQR) is shown by TRUE and Rear sensors with camera, Rear sensors respectively.",./static/img/BOX/Parking_Assistance_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
171,BOX,Parking_Assistance,"In Parking_Assistances comparison wrt Cylinders,Front and rear sensors with camera, Front & rear sensors with 360 degree view has the highest mean whereas, Not Specified has the lowest mean, max and min InterQuartile Range (IQR) is shown by TRUE and Front and rear sensors with camera, Front & rear sensors with 360 degree view respectively.",./static/img/BOX/Parking_Assistance_Cylinders.png,Cylinders
172,BOX,Parking_Assistance,"In Parking_Assistances comparison wrt Height(mm),Front and rear sensors with camera, Front & rear sensors with 360 degree view has the highest mean whereas, TRUE has the lowest mean, max and min InterQuartile Range (IQR) is shown by TRUE and Front and rear sensors with camera, Front & rear sensors with 360 degree view respectively.",./static/img/BOX/Parking_Assistance_Height(mm).png,Height(mm)
173,BOX,Parking_Assistance,"In Parking_Assistances comparison wrt Length(mm),Front and rear sensors with camera, Front & rear sensors with 360 degree view has the highest mean whereas, Not Specified has the lowest mean, max and min InterQuartile Range (IQR) is shown by Not Specified and Front and rear sensors with camera, Front & rear sensors with 360 degree view respectively.",./static/img/BOX/Parking_Assistance_Length(mm).png,Length(mm)
174,BOX,Parking_Assistance,"In Parking_Assistances comparison wrt Width(mm),Front and rear sensors with camera, Front & rear sensors with 360 degree view has the highest mean whereas, Rear sensors with camera, Rear sensors has the lowest mean, max and min InterQuartile Range (IQR) is shown by Front sensors, Rear sensors and Front and rear sensors with camera, Front & rear sensors with 360 degree view respectively.",./static/img/BOX/Parking_Assistance_Width(mm).png,Width(mm)
175,BOX,Parking_Assistance,"In Parking_Assistances comparison wrt City_Mileage(km_per_litre),Rear sensors has the highest mean whereas, Rear sensors, Front sensors has the lowest mean, max and min InterQuartile Range (IQR) is shown by Front and rear sensors with camera and Front and rear sensors with camera, Front & rear sensors with 360 degree view respectively.",./static/img/BOX/Parking_Assistance_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
176,BOX,Parking_Assistance,"In Parking_Assistances comparison wrt Ground_Clearance(mm),Rear sensors, Front sensors has the highest mean whereas, TRUE has the lowest mean, max and min InterQuartile Range (IQR) is shown by TRUE and Front and rear sensors with camera, Front & rear sensors with 360 degree view respectively.",./static/img/BOX/Parking_Assistance_Ground_Clearance(mm).png,Ground_Clearance(mm)
177,BOX,Parking_Assistance,"In Parking_Assistances comparison wrt Seating_Capacity,Front and rear sensors with camera, Front & rear sensors with 360 degree view has the highest mean whereas, Front and rear sensors with camera has the lowest mean, max and min InterQuartile Range (IQR) is shown by Front sensors, Rear sensors and Front & rear sensors with 360 degree view respectively.",./static/img/BOX/Parking_Assistance_Seating_Capacity.png,Seating_Capacity
178,BOX,Parking_Assistance,"In Parking_Assistances comparison wrt Wheelbase,Front and rear sensors with camera, Front & rear sensors with 360 degree view has the highest mean whereas, Rear sensors with camera, Rear sensors has the lowest mean, max and min InterQuartile Range (IQR) is shown by Front and rear sensors with camera and Front and rear sensors with camera, Front & rear sensors with 360 degree view respectively.",./static/img/BOX/Parking_Assistance_Wheelbase.png,Wheelbase
179,BOX,Parking_Assistance,"In Parking_Assistances comparison wrt Minimum_Turning_Radius(meter),Not Specified has the highest mean whereas, Rear sensors, Front sensors has the lowest mean, max and min InterQuartile Range (IQR) is shown by Rear sensors, Rear sensors with camera and Front and rear sensors with camera, Front & rear sensors with 360 degree view respectively.",./static/img/BOX/Parking_Assistance_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
180,BOX,Parking_Assistance,"In Parking_Assistances comparison wrt Number_of_Airbags,Front and rear sensors with camera, Front & rear sensors with 360 degree view has the highest mean whereas, Rear sensors with camera, Rear sensors has the lowest mean, max and min InterQuartile Range (IQR) is shown by Front sensors, Rear sensors and Front and rear sensors with camera, Front & rear sensors with 360 degree view respectively.",./static/img/BOX/Parking_Assistance_Number_of_Airbags.png,Number_of_Airbags
181,REG_PLOT,Ex-Showroom_Price(Rs),"Ex-Showroom_Price(Rs) vs Cylinders has a positive corelation. The slope and intercept are 0.0 and 3.86 , respectively",./static/img/REG_PLOT/positive/Ex-Showroom_Price(Rs)_Cylinders.png,Cylinders
182,REG_PLOT,Ex-Showroom_Price(Rs),"Ex-Showroom_Price(Rs) vs Height(mm) has a negative corelation. The slope and intercept are -0.0 and 1602.29 , respectively",./static/img/REG_PLOT/negative/Ex-Showroom_Price(Rs)_Height(mm).png,Height(mm)
183,REG_PLOT,Ex-Showroom_Price(Rs),"Ex-Showroom_Price(Rs) vs Length(mm) has a positive corelation. The slope and intercept are 0.0 and 4224.53 , respectively",./static/img/REG_PLOT/positive/Ex-Showroom_Price(Rs)_Length(mm).png,Length(mm)
184,REG_PLOT,Ex-Showroom_Price(Rs),"Ex-Showroom_Price(Rs) vs Width(mm) has a positive corelation. The slope and intercept are 0.0 and 1764.68 , respectively",./static/img/REG_PLOT/positive/Ex-Showroom_Price(Rs)_Width(mm).png,Width(mm)
185,REG_PLOT,Ex-Showroom_Price(Rs),"Ex-Showroom_Price(Rs) vs City_Mileage(km_per_litre) has a negative corelation. The slope and intercept are -0.0 and 54.87 , respectively",./static/img/REG_PLOT/negative/Ex-Showroom_Price(Rs)_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
186,REG_PLOT,Ex-Showroom_Price(Rs),"Ex-Showroom_Price(Rs) vs Ground_Clearance(mm) has a negative corelation. The slope and intercept are -0.0 and 179.82 , respectively",./static/img/REG_PLOT/negative/Ex-Showroom_Price(Rs)_Ground_Clearance(mm).png,Ground_Clearance(mm)
187,REG_PLOT,Ex-Showroom_Price(Rs),"Ex-Showroom_Price(Rs) vs Seating_Capacity has a negative corelation. The slope and intercept are -0.0 and 5.4 , respectively",./static/img/REG_PLOT/negative/Ex-Showroom_Price(Rs)_Seating_Capacity.png,Seating_Capacity
188,REG_PLOT,Ex-Showroom_Price(Rs),"Ex-Showroom_Price(Rs) vs Wheelbase has a positive corelation. The slope and intercept are 0.0 and 2598.15 , respectively",./static/img/REG_PLOT/positive/Ex-Showroom_Price(Rs)_Wheelbase.png,Wheelbase
189,REG_PLOT,Ex-Showroom_Price(Rs),"Ex-Showroom_Price(Rs) vs Minimum_Turning_Radius(meter) has a negative corelation. The slope and intercept are -0.0 and 13.4 , respectively",./static/img/REG_PLOT/negative/Ex-Showroom_Price(Rs)_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
190,REG_PLOT,Ex-Showroom_Price(Rs),"Ex-Showroom_Price(Rs) vs Number_of_Airbags has a positive corelation. The slope and intercept are 0.0 and 3.51 , respectively",./static/img/REG_PLOT/positive/Ex-Showroom_Price(Rs)_Number_of_Airbags.png,Number_of_Airbags
191,REG_PLOT,Cylinders,"Cylinders vs Ex-Showroom_Price(Rs) has a positive corelation. The slope and intercept are 6127693.0 and -22128079.36 , respectively",./static/img/REG_PLOT/positive/Cylinders_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
192,REG_PLOT,Cylinders,"Cylinders vs Height(mm) has a negative corelation. The slope and intercept are -16.3 and 1662.24 , respectively",./static/img/REG_PLOT/negative/Cylinders_Height(mm).png,Height(mm)
193,REG_PLOT,Cylinders,"Cylinders vs Length(mm) has a positive corelation. The slope and intercept are 157.5 and 3610.12 , respectively",./static/img/REG_PLOT/positive/Cylinders_Length(mm).png,Length(mm)
194,REG_PLOT,Cylinders,"Cylinders vs Width(mm) has a positive corelation. The slope and intercept are 48.3 and 1577.95 , respectively",./static/img/REG_PLOT/positive/Cylinders_Width(mm).png,Width(mm)
195,REG_PLOT,Cylinders,"Cylinders vs City_Mileage(km_per_litre) has a negative corelation. The slope and intercept are -3.9 and 68.9 , respectively",./static/img/REG_PLOT/negative/Cylinders_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
196,REG_PLOT,Cylinders,"Cylinders vs Ground_Clearance(mm) has a positive corelation. The slope and intercept are 0.0 and 179.57 , respectively",./static/img/REG_PLOT/positive/Cylinders_Ground_Clearance(mm).png,Ground_Clearance(mm)
197,REG_PLOT,Cylinders,"Cylinders vs Seating_Capacity has a negative corelation. The slope and intercept are -0.2 and 6.23 , respectively",./static/img/REG_PLOT/negative/Cylinders_Seating_Capacity.png,Seating_Capacity
198,REG_PLOT,Cylinders,"Cylinders vs Wheelbase has a positive corelation. The slope and intercept are 68.1 and 2334.29 , respectively",./static/img/REG_PLOT/positive/Cylinders_Wheelbase.png,Wheelbase
199,REG_PLOT,Cylinders,"Cylinders vs Minimum_Turning_Radius(meter) has a negative corelation. The slope and intercept are -0.3 and 14.28 , respectively",./static/img/REG_PLOT/negative/Cylinders_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
200,REG_PLOT,Cylinders,"Cylinders vs Number_of_Airbags has a positive corelation. The slope and intercept are 0.6 and 1.02 , respectively",./static/img/REG_PLOT/positive/Cylinders_Number_of_Airbags.png,Number_of_Airbags
201,REG_PLOT,Height(mm),"Height(mm) vs Ex-Showroom_Price(Rs) has a negative corelation. The slope and intercept are -14424.9 and 27547921.36 , respectively",./static/img/REG_PLOT/negative/Height(mm)_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
202,REG_PLOT,Height(mm),"Height(mm) vs Cylinders has a negative corelation. The slope and intercept are -0.0 and 7.09 , respectively",./static/img/REG_PLOT/negative/Height(mm)_Cylinders.png,Cylinders
203,REG_PLOT,Height(mm),"Height(mm) vs Length(mm) has a positive corelation. The slope and intercept are 0.4 and 3664.03 , respectively",./static/img/REG_PLOT/positive/Height(mm)_Length(mm).png,Length(mm)
204,REG_PLOT,Height(mm),"Height(mm) vs Width(mm) has a positive corelation. The slope and intercept are 0.2 and 1529.56 , respectively",./static/img/REG_PLOT/positive/Height(mm)_Width(mm).png,Width(mm)
205,REG_PLOT,Height(mm),"Height(mm) vs City_Mileage(km_per_litre) has a negative corelation. The slope and intercept are -0.1 and 197.2 , respectively",./static/img/REG_PLOT/negative/Height(mm)_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
206,REG_PLOT,Height(mm),"Height(mm) vs Ground_Clearance(mm) has a positive corelation. The slope and intercept are 0.1 and 54.49 , respectively",./static/img/REG_PLOT/positive/Height(mm)_Ground_Clearance(mm).png,Ground_Clearance(mm)
207,REG_PLOT,Height(mm),"Height(mm) vs Seating_Capacity has a positive corelation. The slope and intercept are 0.0 and -3.05 , respectively",./static/img/REG_PLOT/positive/Height(mm)_Seating_Capacity.png,Seating_Capacity
208,REG_PLOT,Height(mm),"Height(mm) vs Wheelbase has a positive corelation. The slope and intercept are 0.3 and 2183.46 , respectively",./static/img/REG_PLOT/positive/Height(mm)_Wheelbase.png,Wheelbase
209,REG_PLOT,Height(mm),"Height(mm) vs Minimum_Turning_Radius(meter) has a positive corelation. The slope and intercept are 0.2 and -350.29 , respectively",./static/img/REG_PLOT/positive/Height(mm)_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
210,REG_PLOT,Height(mm),"Height(mm) vs Number_of_Airbags has a positive corelation. The slope and intercept are 0.0 and 2.84 , respectively",./static/img/REG_PLOT/positive/Height(mm)_Number_of_Airbags.png,Number_of_Airbags
211,REG_PLOT,Length(mm),"Length(mm) vs Ex-Showroom_Price(Rs) has a positive corelation. The slope and intercept are 10224.3 and -39336300.67 , respectively",./static/img/REG_PLOT/positive/Length(mm)_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
212,REG_PLOT,Length(mm),"Length(mm) vs Cylinders has a positive corelation. The slope and intercept are 0.0 and -3.45 , respectively",./static/img/REG_PLOT/positive/Length(mm)_Cylinders.png,Cylinders
213,REG_PLOT,Length(mm),"Length(mm) vs Height(mm) has a positive corelation. The slope and intercept are 0.0 and 1403.62 , respectively",./static/img/REG_PLOT/positive/Length(mm)_Height(mm).png,Height(mm)
214,REG_PLOT,Length(mm),"Length(mm) vs Width(mm) has a positive corelation. The slope and intercept are 0.3 and 709.88 , respectively",./static/img/REG_PLOT/positive/Length(mm)_Width(mm).png,Width(mm)
215,REG_PLOT,Length(mm),"Length(mm) vs City_Mileage(km_per_litre) has a positive corelation. The slope and intercept are 0.0 and -0.06 , respectively",./static/img/REG_PLOT/positive/Length(mm)_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
216,REG_PLOT,Length(mm),"Length(mm) vs Ground_Clearance(mm) has a positive corelation. The slope and intercept are 0.0 and 147.96 , respectively",./static/img/REG_PLOT/positive/Length(mm)_Ground_Clearance(mm).png,Ground_Clearance(mm)
217,REG_PLOT,Length(mm),"Length(mm) vs Seating_Capacity has a positive corelation. The slope and intercept are 0.0 and 3.97 , respectively",./static/img/REG_PLOT/positive/Length(mm)_Seating_Capacity.png,Seating_Capacity
218,REG_PLOT,Length(mm),"Length(mm) vs Wheelbase has a positive corelation. The slope and intercept are 0.4 and 972.01 , respectively",./static/img/REG_PLOT/positive/Length(mm)_Wheelbase.png,Wheelbase
219,REG_PLOT,Length(mm),"Length(mm) vs Minimum_Turning_Radius(meter) has a positive corelation. The slope and intercept are 0.0 and -109.93 , respectively",./static/img/REG_PLOT/positive/Length(mm)_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
220,REG_PLOT,Length(mm),"Length(mm) vs Number_of_Airbags has a positive corelation. The slope and intercept are 0.0 and -9.49 , respectively",./static/img/REG_PLOT/positive/Length(mm)_Number_of_Airbags.png,Number_of_Airbags
221,REG_PLOT,Width(mm),"Width(mm) vs Ex-Showroom_Price(Rs) has a positive corelation. The slope and intercept are 33956.5 and -56136465.5 , respectively",./static/img/REG_PLOT/positive/Width(mm)_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
222,REG_PLOT,Width(mm),"Width(mm) vs Cylinders has a positive corelation. The slope and intercept are 0.0 and -5.68 , respectively",./static/img/REG_PLOT/positive/Width(mm)_Cylinders.png,Cylinders
223,REG_PLOT,Width(mm),"Width(mm) vs Height(mm) has a positive corelation. The slope and intercept are 0.2 and 1269.61 , respectively",./static/img/REG_PLOT/positive/Width(mm)_Height(mm).png,Height(mm)
224,REG_PLOT,Width(mm),"Width(mm) vs Length(mm) has a positive corelation. The slope and intercept are 2.5 and -222.87 , respectively",./static/img/REG_PLOT/positive/Width(mm)_Length(mm).png,Length(mm)
225,REG_PLOT,Width(mm),"Width(mm) vs City_Mileage(km_per_litre) has a negative corelation. The slope and intercept are -0.1 and 158.94 , respectively",./static/img/REG_PLOT/negative/Width(mm)_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
226,REG_PLOT,Width(mm),"Width(mm) vs Ground_Clearance(mm) has a positive corelation. The slope and intercept are 0.0 and 106.3 , respectively",./static/img/REG_PLOT/positive/Width(mm)_Ground_Clearance(mm).png,Ground_Clearance(mm)
227,REG_PLOT,Width(mm),"Width(mm) vs Seating_Capacity has a positive corelation. The slope and intercept are 0.0 and 4.87 , respectively",./static/img/REG_PLOT/positive/Width(mm)_Seating_Capacity.png,Seating_Capacity
228,REG_PLOT,Width(mm),"Width(mm) vs Wheelbase has a positive corelation. The slope and intercept are 1.0 and 861.95 , respectively",./static/img/REG_PLOT/positive/Width(mm)_Wheelbase.png,Wheelbase
229,REG_PLOT,Width(mm),"Width(mm) vs Minimum_Turning_Radius(meter) has a positive corelation. The slope and intercept are 0.0 and -46.72 , respectively",./static/img/REG_PLOT/positive/Width(mm)_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
230,REG_PLOT,Width(mm),"Width(mm) vs Number_of_Airbags has a positive corelation. The slope and intercept are 0.0 and -11.99 , respectively",./static/img/REG_PLOT/positive/Width(mm)_Number_of_Airbags.png,Number_of_Airbags
231,REG_PLOT,City_Mileage(km_per_litre),"City_Mileage(km_per_litre) vs Ex-Showroom_Price(Rs) has a negative corelation. The slope and intercept are -177.9 and 4605775.14 , respectively",./static/img/REG_PLOT/negative/City_Mileage(km_per_litre)_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
232,REG_PLOT,City_Mileage(km_per_litre),"City_Mileage(km_per_litre) vs Cylinders has a negative corelation. The slope and intercept are -0.0 and 4.36 , respectively",./static/img/REG_PLOT/negative/City_Mileage(km_per_litre)_Cylinders.png,Cylinders
233,REG_PLOT,City_Mileage(km_per_litre),"City_Mileage(km_per_litre) vs Height(mm) has a negative corelation. The slope and intercept are -0.0 and 1591.32 , respectively",./static/img/REG_PLOT/negative/City_Mileage(km_per_litre)_Height(mm).png,Height(mm)
234,REG_PLOT,City_Mileage(km_per_litre),"City_Mileage(km_per_litre) vs Length(mm) has a positive corelation. The slope and intercept are 0.0 and 4296.61 , respectively",./static/img/REG_PLOT/positive/City_Mileage(km_per_litre)_Length(mm).png,Length(mm)
235,REG_PLOT,City_Mileage(km_per_litre),"City_Mileage(km_per_litre) vs Width(mm) has a negative corelation. The slope and intercept are -0.0 and 1788.69 , respectively",./static/img/REG_PLOT/negative/City_Mileage(km_per_litre)_Width(mm).png,Width(mm)
236,REG_PLOT,City_Mileage(km_per_litre),"City_Mileage(km_per_litre) vs Ground_Clearance(mm) has a negative corelation. The slope and intercept are -0.0 and 179.71 , respectively",./static/img/REG_PLOT/negative/City_Mileage(km_per_litre)_Ground_Clearance(mm).png,Ground_Clearance(mm)
237,REG_PLOT,City_Mileage(km_per_litre),"City_Mileage(km_per_litre) vs Seating_Capacity has a negative corelation. The slope and intercept are -0.0 and 5.27 , respectively",./static/img/REG_PLOT/negative/City_Mileage(km_per_litre)_Seating_Capacity.png,Seating_Capacity
238,REG_PLOT,City_Mileage(km_per_litre),"City_Mileage(km_per_litre) vs Wheelbase has a positive corelation. The slope and intercept are 0.0 and 2631.48 , respectively",./static/img/REG_PLOT/positive/City_Mileage(km_per_litre)_Wheelbase.png,Wheelbase
239,REG_PLOT,City_Mileage(km_per_litre),"City_Mileage(km_per_litre) vs Minimum_Turning_Radius(meter) has a negative corelation. The slope and intercept are -0.0 and 13.1 , respectively",./static/img/REG_PLOT/negative/City_Mileage(km_per_litre)_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
240,REG_PLOT,City_Mileage(km_per_litre),"City_Mileage(km_per_litre) vs Number_of_Airbags has a negative corelation. The slope and intercept are -0.0 and 3.81 , respectively",./static/img/REG_PLOT/negative/City_Mileage(km_per_litre)_Number_of_Airbags.png,Number_of_Airbags
241,REG_PLOT,Ground_Clearance(mm),"Ground_Clearance(mm) vs Ex-Showroom_Price(Rs) has a negative corelation. The slope and intercept are -4704.1 and 5441849.77 , respectively",./static/img/REG_PLOT/negative/Ground_Clearance(mm)_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
242,REG_PLOT,Ground_Clearance(mm),"Ground_Clearance(mm) vs Cylinders has a positive corelation. The slope and intercept are 0.0 and 4.35 , respectively",./static/img/REG_PLOT/positive/Ground_Clearance(mm)_Cylinders.png,Cylinders
243,REG_PLOT,Ground_Clearance(mm),"Ground_Clearance(mm) vs Height(mm) has a positive corelation. The slope and intercept are 2.3 and 1175.48 , respectively",./static/img/REG_PLOT/positive/Ground_Clearance(mm)_Height(mm).png,Height(mm)
244,REG_PLOT,Ground_Clearance(mm),"Ground_Clearance(mm) vs Length(mm) has a positive corelation. The slope and intercept are 2.0 and 3941.22 , respectively",./static/img/REG_PLOT/positive/Ground_Clearance(mm)_Length(mm).png,Length(mm)
245,REG_PLOT,Ground_Clearance(mm),"Ground_Clearance(mm) vs Width(mm) has a positive corelation. The slope and intercept are 1.1 and 1592.27 , respectively",./static/img/REG_PLOT/positive/Ground_Clearance(mm)_Width(mm).png,Width(mm)
246,REG_PLOT,Ground_Clearance(mm),"Ground_Clearance(mm) vs City_Mileage(km_per_litre) has a negative corelation. The slope and intercept are -0.2 and 84.93 , respectively",./static/img/REG_PLOT/negative/Ground_Clearance(mm)_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
247,REG_PLOT,Ground_Clearance(mm),"Ground_Clearance(mm) vs Seating_Capacity has a positive corelation. The slope and intercept are 0.0 and 3.49 , respectively",./static/img/REG_PLOT/positive/Ground_Clearance(mm)_Seating_Capacity.png,Seating_Capacity
248,REG_PLOT,Ground_Clearance(mm),"Ground_Clearance(mm) vs Wheelbase has a positive corelation. The slope and intercept are 1.1 and 2427.63 , respectively",./static/img/REG_PLOT/positive/Ground_Clearance(mm)_Wheelbase.png,Wheelbase
249,REG_PLOT,Ground_Clearance(mm),"Ground_Clearance(mm) vs Minimum_Turning_Radius(meter) has a positive corelation. The slope and intercept are 0.0 and 10.05 , respectively",./static/img/REG_PLOT/positive/Ground_Clearance(mm)_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
250,REG_PLOT,Ground_Clearance(mm),"Ground_Clearance(mm) vs Number_of_Airbags has a positive corelation. The slope and intercept are 0.0 and 2.28 , respectively",./static/img/REG_PLOT/positive/Ground_Clearance(mm)_Number_of_Airbags.png,Number_of_Airbags
251,REG_PLOT,Seating_Capacity,"Seating_Capacity vs Ex-Showroom_Price(Rs) has a negative corelation. The slope and intercept are -3265174.9 and 21800119.86 , respectively",./static/img/REG_PLOT/negative/Seating_Capacity_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
252,REG_PLOT,Seating_Capacity,"Seating_Capacity vs Cylinders has a negative corelation. The slope and intercept are -0.4 and 6.7 , respectively",./static/img/REG_PLOT/negative/Seating_Capacity_Cylinders.png,Cylinders
253,REG_PLOT,Seating_Capacity,"Seating_Capacity vs Height(mm) has a positive corelation. The slope and intercept are 99.8 and 1065.5 , respectively",./static/img/REG_PLOT/positive/Seating_Capacity_Height(mm).png,Height(mm)
254,REG_PLOT,Seating_Capacity,"Seating_Capacity vs Length(mm) has a positive corelation. The slope and intercept are 52.5 and 4020.23 , respectively",./static/img/REG_PLOT/positive/Seating_Capacity_Length(mm).png,Length(mm)
255,REG_PLOT,Seating_Capacity,"Seating_Capacity vs Width(mm) has a positive corelation. The slope and intercept are 3.9 and 1768.2 , respectively",./static/img/REG_PLOT/positive/Seating_Capacity_Width(mm).png,Width(mm)
256,REG_PLOT,Seating_Capacity,"Seating_Capacity vs City_Mileage(km_per_litre) has a negative corelation. The slope and intercept are -5.6 and 81.52 , respectively",./static/img/REG_PLOT/negative/Seating_Capacity_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
257,REG_PLOT,Seating_Capacity,"Seating_Capacity vs Ground_Clearance(mm) has a positive corelation. The slope and intercept are 6.4 and 145.76 , respectively",./static/img/REG_PLOT/positive/Seating_Capacity_Ground_Clearance(mm).png,Ground_Clearance(mm)
258,REG_PLOT,Seating_Capacity,"Seating_Capacity vs Wheelbase has a positive corelation. The slope and intercept are 29.9 and 2474.2 , respectively",./static/img/REG_PLOT/positive/Seating_Capacity_Wheelbase.png,Wheelbase
259,REG_PLOT,Seating_Capacity,"Seating_Capacity vs Minimum_Turning_Radius(meter) has a positive corelation. The slope and intercept are 43.0 and -213.58 , respectively",./static/img/REG_PLOT/positive/Seating_Capacity_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
260,REG_PLOT,Seating_Capacity,"Seating_Capacity vs Number_of_Airbags has a negative corelation. The slope and intercept are -0.0 and 3.88 , respectively",./static/img/REG_PLOT/negative/Seating_Capacity_Number_of_Airbags.png,Number_of_Airbags
261,REG_PLOT,Wheelbase,"Wheelbase vs Ex-Showroom_Price(Rs) has a positive corelation. The slope and intercept are 24674.3 and -60333489.65 , respectively",./static/img/REG_PLOT/positive/Wheelbase_Ex-Showroom_Price(Rs).png,Ex-Showroom_Price(Rs)
262,REG_PLOT,Wheelbase,"Wheelbase vs Cylinders has a positive corelation. The slope and intercept are 0.0 and -6.48 , respectively",./static/img/REG_PLOT/positive/Wheelbase_Cylinders.png,Cylinders
263,REG_PLOT,Wheelbase,"Wheelbase vs Height(mm) has a positive corelation. The slope and intercept are 0.2 and 1165.39 , respectively",./static/img/REG_PLOT/positive/Wheelbase_Height(mm).png,Height(mm)
264,REG_PLOT,Wheelbase,"Wheelbase vs Length(mm) has a positive corelation. The slope and intercept are 2.0 and -1025.92 , respectively",./static/img/REG_PLOT/positive/Wheelbase_Length(mm).png,Length(mm)
265,REG_PLOT,Wheelbase,"Wheelbase vs Width(mm) has a positive corelation. The slope and intercept are 0.5 and 433.97 , respectively",./static/img/REG_PLOT/positive/Wheelbase_Width(mm).png,Width(mm)
266,REG_PLOT,Wheelbase,"Wheelbase vs City_Mileage(km_per_litre) has a positive corelation. The slope and intercept are 0.0 and 49.55 , respectively",./static/img/REG_PLOT/positive/Wheelbase_City_Mileage(km_per_litre).png,City_Mileage(km_per_litre)
267,REG_PLOT,Wheelbase,"Wheelbase vs Ground_Clearance(mm) has a positive corelation. The slope and intercept are 0.0 and 121.34 , respectively",./static/img/REG_PLOT/positive/Wheelbase_Ground_Clearance(mm).png,Ground_Clearance(mm)
268,REG_PLOT,Wheelbase,"Wheelbase vs Seating_Capacity has a positive corelation. The slope and intercept are 0.0 and 2.9 , respectively",./static/img/REG_PLOT/positive/Wheelbase_Seating_Capacity.png,Seating_Capacity
269,REG_PLOT,Wheelbase,"Wheelbase vs Minimum_Turning_Radius(meter) has a positive corelation. The slope and intercept are 0.1 and -273.1 , respectively",./static/img/REG_PLOT/positive/Wheelbase_Minimum_Turning_Radius(meter).png,Minimum_Turning_Radius(meter)
270,REG_PLOT,Wheelbase,"Wheelbase vs Number_of_Airbags has a positive corelation. The slope and intercept are 0.0 and -14.53 , respectively",./static/img/REG_PLOT/positive/Wheelbase_Number_of_Airbags.png,Number_of_Airbags
